Name,Country_Code,5yr-avg_gdp_pc,5yr-avg_pop,5yr-avg_vuln,5yr-avg_rdness,CO2_emissions_per_capita,Region,Income Group,CO2_emi,5yr-avg_gdp
Nauru,NRU,11285.90018,12737,,0.439085311,7.433399527,East Asia & Pacific,High income,75.86206897,113291033.6
Nepal,NPL,3043.123644,27719973.4,0.516747551,0.352667519,0.155885377,South Asia,Lower middle income,4020,30890113767
Netherlands,NLD,55770.98791,17133201.4,0.338621136,0.698841162,10.01216768,Europe & Central Asia,High income,161556.8966,8.71207E+11
New Zealand,NZL,41952.65687,4768160,0.280599521,0.780018598,7.28946504,East Asia & Pacific,High income,29777.24138,2.06342E+11
Nicaragua,NIC,5694.397149,6384616.8,0.446637333,0.293863565,0.720635103,Latin America & Caribbean,Lower middle income,3930,13065984839
Niger,NER,1193.317558,21629327.2,0.678447928,0.314692927,0.072334966,Sub-Saharan Africa,Low income,1058.62069,12210091757
Nigeria,NGA,5298.955178,190961877.4,0.497000647,0.227865798,0.669085862,Sub-Saharan Africa,Lower middle income,91382.06897,4.116E+11
Norway,NOR,65002.84846,5271981.2,0.247517816,0.789681263,7.695933794,Europe & Central Asia,High income,36037.58621,3.94272E+11
Oman,OMN,29383.7368,4643394.2,0.39783672,0.497212418,11.80205852,Middle East & North Africa,High income,35875.86207,81904707412
Pakistan,PAK,4621.560743,207946256.4,0.519887752,0.282674566,0.740552454,South Asia,Lower middle income,119743.7931,2.87891E+11
Palau,PLW,18175.37035,17822.6,,0.431351856,11.33750822,East Asia & Pacific,High income,206.2068966,280040000
Panama,PAN,29651.77478,4107129.6,0.385475564,0.397918948,2.034694001,Latin America & Caribbean,Upper middle income,6930,61200258794
Papua New Guinea,PNG,4249.997588,8439997.8,0.521441321,0.285871293,0.62099924,East Asia & Pacific,Lower middle income,4185.862069,23406287349
Paraguay,PRY,12501.15323,6866877.4,0.402165975,0.361161087,0.762232505,Latin America & Caribbean,Upper middle income,4415.172414,37777874809
Peru,PER,12520.48474,31468154.4,0.436808816,0.406785534,1.265819261,Latin America & Caribbean,Upper middle income,35254.13793,2.11193E+11
Philippines,PHL,8207.459361,105143788,0.467284405,0.335616373,0.919714165,East Asia & Pacific,Lower middle income,79248.62069,3.46452E+11
Poland,POL,30699.51684,37975389.8,0.313673009,0.560290861,8.234677733,Europe & Central Asia,High income,314928.6207,5.56091E+11
Portugal,PRT,33674.29803,10307413.4,0.319148391,0.586819844,5.161176111,Europe & Central Asia,High income,53250.68966,2.27725E+11
Qatar,QAT,91004.87579,2711710.4,0.366673155,0.502818976,35.61712204,Middle East & North Africa,High income,43373.44828,1.6339E+11
Romania,ROU,27324.3594,19586852.4,0.393718647,0.433742899,4.539078597,Europe & Central Asia,Upper middle income,97799.65517,2.27976E+11
Russian Federation,RUS,26432.31657,144357480.2,0.327987953,0.53287376,11.11767127,Europe & Central Asia,Upper middle income,1616967.241,1.53585E+12
Rwanda,RWA,2026.008067,11989543,0.568946874,0.408537197,0.069073587,Sub-Saharan Africa,Low income,608.9655172,9654766107
Saint Kitts and Nevis,KNA,25669.51445,52028.2,0.423703572,0.567526692,4.804898075,Latin America & Caribbean,High income,225.1724138,1058740741
Saint Lucia,LCA,14910.8858,180956.8,0.349587152,0.457190814,2.278299903,Latin America & Caribbean,Upper middle income,372.4137931,1932595289
Saint Vincent and the Grenadines,VCT,12430.3177,109846.6,,0.46694914,2.19656873,Latin America & Caribbean,Upper middle income,238.2758621,802084444.4
Samoa,WSM,6382.433681,195325.4,0.480491439,0.433230683,0.974765481,East Asia & Pacific,Lower middle income,177.2413793,822382863.8
